ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,"Afghanistan, Islamic Rep. of",AF,AFG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.096,-0.143,0.848,-0.762,-0.233,0.239,-0.355,-0.402,-0.528,0.828,0.628,-1.116,0.24,-0.484,-0.469,-0.292,0.478,0.028,0.335,0.585,0.479,-0.356,0.147,0.129,0.25,-0.129,0.38,0.918,-0.124,0.786,-0.149,-0.262,0.175,0.461,0.405,-0.119,0.425,0.577,1.167,1,1.276,1.355,0.552,1.422,0.419,1.799,0.699,0.732,0.958,1.666,1.455,0.267,1.385,0.484,1.139,1.588,1.63,1.597,0.951,0.552,1.418,1.967,1.748,2.188
2,Africa,,AFRTMP,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.015,-0.033,0.069,-0.149,-0.194,0.142,-0.212,-0.225,0.359,0.219,-0.205,0,0.376,-0.235,-0.237,-0.259,0.233,0.076,0.436,0.368,0.111,0.23,0.422,0.331,0.295,0.293,0.684,0.615,0.007,0.584,0.394,0.101,0.395,0.426,0.564,0.541,0.586,0.977,0.648,0.484,0.668,0.899,1.028,0.851,1.1,0.947,0.817,0.725,0.973,1.51,0.906,0.758,1.009,1.011,1.195,1.385,1.158,1.15,1.29,1.177,1.4,1.014,1.485,1.75
3,Albania,AL,ALB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.643,0.351,0.089,-0.154,-0.377,0.565,-0.071,0.085,-0.009,-0.114,-0.208,-0.088,-0.313,-0.147,-0.223,-0.698,0.526,-0.824,0.196,-0.418,-0.351,0.174,-0.12,-0.267,-0.098,0.574,-0.105,0.379,-0.056,0.797,-0.277,0.087,0.068,1.314,-0.187,-0.039,0.079,0.795,0.686,1.065,1.547,0.513,1.026,0.472,0.2,0.402,1.377,1.02,0.944,1.241,1.136,1.559,1.392,1.332,1.702,1.608,1.239,2.155,1.797,1.627,1.719,1.701,2.299,2.925
4,Algeria,DZ,DZA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.154,0.105,0.072,0.248,-0.104,0.424,0,-0.065,0.275,0.111,-0.391,-0.356,-0.03,-0.506,-0.57,-0.816,0.539,0.054,0.691,0.244,0.218,0.396,0.545,0.025,0.532,0.33,1.03,1.397,0.45,1.339,0.103,-0.232,0.643,0.828,0.689,0.923,1.112,1.163,1.51,0.862,1.889,1.288,1.621,1.024,1.293,1.432,1.254,1.219,0.969,2.272,1.407,1.171,1.213,1.705,1.134,1.761,1.506,1.203,1.24,2.006,2.424,1.804,2.303,2.824
5,American Samoa,AS,ASM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.075,-0.047,0.161,-0.146,-0.538,0.21,-0.339,-0.164,0.153,-0.023,-0.449,-0.042,0.357,-0.271,-0.08,-0.139,0.187,0.124,0.372,0.362,0.19,0.289,0.322,0.286,0.264,0.403,0.36,0.513,0.149,0.505,0.645,0.363,-0.041,0.236,0.788,0.803,,,0.264,0.66,0.938,1.185,0.739,0.285,0.934,0.536,0.969,0.561,0.875,1.007,0.704,0.734,1.026,0.898,0.738,1.268,1.163,0.917,1.268,1.159,0.997,0.984,1.01,1.588
6,Americas,,AMETMP,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.058,-0.087,0.271,-0.248,-0.373,-0.113,-0.153,0.053,0.085,0.187,-0.213,-0.623,0.186,-0.35,-0.081,-0.108,0.575,-0.14,-0.09,0.555,0.798,-0.166,0.452,0.111,-0.044,0.254,0.895,0.641,0.153,0.332,0.402,0.231,0.272,0.504,0.745,0.159,0.551,1.558,0.924,0.808,0.93,0.752,1.024,0.664,1.08,1.375,0.985,0.62,0.68,1.527,0.944,1.456,0.905,0.689,1.361,1.859,1.388,0.913,1.26,1.314,1.601,1.098,1.803,2.369
7,"Andorra, Principality of",AD,AND,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.736,0.109,-0.759,0.303,-0.501,0.395,0.614,-0.02,-0.172,0.087,-0.383,-0.491,0.01,-0.372,0.23,-0.052,-0.095,-0.158,0.048,-0.203,0.165,1.04,0.837,-0.183,0.031,0.382,0.409,0.892,1.162,1.728,0.205,0.357,0.167,1.512,1.283,0.569,1.765,1.002,1.046,1.048,1.494,0.848,1.968,0.954,0.863,1.491,1.015,0.918,1.393,0.445,1.655,1.242,0.812,1.926,1.662,1.957,1.894,1.877,1.922,2.513,1.49,3.196,2.83,2.489
8,Angola,AO,AGO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.033,-0.159,-0.195,-0.231,-0.2,0.177,-0.082,-0.193,0.183,0.242,-0.105,-0.044,0.466,-0.163,-0.034,-0.331,0.251,0.028,0.284,0.273,-0.001,0.214,0.567,0.717,0.722,0.223,0.824,0.554,0.056,0.652,0.221,0.341,0.242,0.5,0.783,0.417,0.285,1.258,0.546,0.258,0.259,0.739,0.971,0.53,1.109,0.528,0.861,0.32,0.601,1.143,0.819,0.478,0.943,0.705,1.253,1.484,0.786,1.306,1.54,0.985,1.392,0.836,1.252,1.295
9,Anguilla,AI,AIA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",-0.029,-0.046,0.192,0.099,-0.334,0.08,-0.207,-0.161,0.397,0.162,-0.195,-0.025,0.249,-0.249,-0.232,-0.296,0.276,0.367,0.24,0.734,0.698,0.286,0.643,0.152,0.038,0.158,0.728,0.532,0.075,0.578,0.598,0.51,0.609,0.671,0.785,0.496,0.661,1.226,0.646,0.383,0.709,0.872,0.932,0.523,0.909,0.715,0.998,0.458,0.639,1.295,0.592,0.816,0.801,0.902,1.162,1.178,1.031,0.842,0.967,1.294,0.869,0.868,1.168,1.574
10,Antigua and Barbuda,AG,ATG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.013,-0.025,0.228,0.093,-0.378,0.216,-0.087,-0.196,0.359,0.225,-0.199,-0.092,0.334,-0.22,-0.255,-0.294,0.284,0.339,0.313,0.739,0.674,0.265,0.715,0.113,0.086,0.149,0.745,0.464,0.025,0.569,0.648,0.591,0.701,0.686,0.858,0.562,0.754,1.256,0.663,0.489,,0.697,0.895,0.559,0.929,0.752,0.987,0.395,0.61,1.377,0.654,0.751,0.762,0.763,1.041,1.203,0.959,0.846,0.937,1.236,0.936,0.845,1.173,1.668
11,Argentina,AR,ARG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate and Weather, Surface Temperature Change",0.117,-0.046,0.163,-0.353,0.089,-0.178,-0.01,0.452,0.263,0.409,-0.289,-0.033,-0.179,-0.151,-0.068,-0.376,0.36,0.286,0.178,0.282,0.285,0.272,-0.032,-0.165,0.237,0.387,0.377,-0.271,0.534,0.373,0.185,-0.326,0.004,0.419,0.2,0.461,0.692,0.274,0.09,-0.26,0.339,0.205,0.573,0.381,0.19,0.499,-0.273,0.485,0.733,0.03,0.255,0.675,0.348,0.857,0.855,0.363,0.968,0.761,0.643,1,0.9,0.525,1.421,0.979
